E. coli ATCC11775,P. aeruginosa PAO1,P. aeruginosa PA14,S. aureus ATCC12600,E. coli AIG221,E. coli AIG222,K. pneumoniae ATCC13883,A. baumannii ATCC19606,A. muciniphila ATCC BAA-835,B. fragilis ATCC25285,B. vulgatus ATCC8482,C. aerofaciens ATCC25986,C. scindens ATCC35704,B. thetaiotaomicron ATCC29148,B. thetaiotaomicron Complemmented,B. thetaiotaomicron Mutant,B. uniformis ATCC8492,B. eggerthi ATCC27754,C. spiroforme ATCC29900,P. distasonis ATCC8503,P. copri DSMZ18205,B. ovatus ATCC8483,E. rectale ATCC33656,C. symbiosum,R. obeum,R. torques,S. aureus (ATCC BAA-1556) - MRSA,vancomycin-resistant E. faecalis ATCC700802,vancomycin-resistant E. faecium ATCC700221,E. coli Nissle,Salmonella enterica ATCC 9150 (BEIRES NR-515),Salmonella enterica (BEIRES NR-170),Salmonella enterica ATCC 9150 (BEIRES NR-174),L. monocytogenes ATCC 19111 (BEIRES NR-106)
16.85471,10.231964,15.9213,53.163685,15.297789,14.248278,89.031906,10.835203,4.1517625,93.92648,8.284746,9.812212,7.2148423,70.28899,107.94767,79.05132,62.934776,56.998108,56.6323,68.38393,73.1102,101.96983,49.043766,278.23987,566.6875,341.67615,57.839314,91.53899,12.78083,523.5144,5.1954203,128.75226,159.26831,14.152964
15.950258,14.960997,17.061127,52.364906,14.556987,12.609732,63.247643,7.781859,11.951092,102.24447,17.684786,13.043999,12.1550045,81.199036,115.6248,81.490166,47.606827,49.859108,71.565384,60.84368,70.23706,108.48273,50.447094,279.67184,572.8491,325.15704,68.70638,93.41057,8.785992,403.35162,6.8044434,296.43896,221.15027,12.855658
14.411303,7.2181196,15.575867,29.930996,16.718225,15.286646,91.826004,15.95208,4.9203777,88.37483,6.6999865,8.4066725,6.845712,68.42441,102.733826,78.072464,70.567696,58.98519,39.278374,76.821144,75.652,93.38631,41.84542,268.36066,622.40533,341.36554,37.224052,66.60899,6.402199,497.26764,6.226152,200.281,251.4487,18.108904
20.998697,12.391682,16.009998,40.778194,11.5455265,14.312839,67.92511,11.162233,8.190285,108.74852,9.500715,13.338646,10.101258,75.92755,108.54579,89.22125,66.12864,63.797375,92.15607,79.51695,97.982285,104.988625,64.61241,268.27438,490.50113,358.42712,56.22512,95.45384,7.555934,447.67828,4.983163,206.1553,178.25122,11.63812
22.789951,12.875017,16.02923,41.84592,11.358486,14.704857,70.634964,12.038987,10.460194,102.59171,8.704976,12.06513,8.985318,70.48093,103.483116,83.324524,58.984608,59.587715,78.98415,73.396935,86.3604,100.003136,60.400623,232.70854,446.46808,331.0064,56.700672,97.84425,7.669294,342.7614,5.653611,166.76031,146.94443,11.550825
20.277956,11.975252,16.055286,45.51719,10.524131,12.746885,58.265198,8.948308,6.807162,82.86617,8.081751,11.035484,8.912756,54.938793,92.53003,69.78535,49.81268,47.24475,83.7273,53.69038,70.39055,85.48432,52.486713,252.1595,534.97296,339.1469,56.15752,102.545555,9.37388,333.1449,5.1006365,191.55142,158.80322,12.715489
8.013391,10.345495,16.14612,21.92018,9.106946,20.617025,16.12749,5.663687,6.284816,12.261895,14.859556,7.539646,5.0449166,9.211342,29.72413,19.338755,4.1602864,7.3396173,12.173414,8.339369,10.686945,17.389921,16.529789,85.952324,246.05579,87.07509,22.358622,39.90014,9.5816145,551.3124,17.185154,242.85844,249.20374,22.045088
18.468527,12.848529,16.143578,46.25844,14.961421,14.376879,71.686554,10.078623,11.181462,104.15926,13.912111,12.152685,10.816953,83.35688,115.58761,85.51945,55.16855,55.97345,79.73933,65.234795,75.52965,109.88818,54.72215,297.7381,583.0605,356.95227,64.329575,92.05958,7.462837,548.9084,5.915715,377.83942,234.94406,12.9466505
20.628353,11.73723,14.11353,45.83922,12.875547,16.24345,67.639915,10.041803,14.214508,92.33107,9.251184,8.446127,6.8296714,71.88265,108.39209,81.94587,56.63793,54.032673,109.21144,60.230537,84.57356,100.17731,53.582542,303.46567,572.632,442.51202,62.0776,99.95089,8.518515,472.29688,6.8914595,243.69705,201.54062,13.622029
15.884084,7.37456,15.102415,35.042103,16.247007,16.178974,94.54503,19.391495,4.811433,88.263535,7.044895,8.145803,7.438601,71.97667,103.050186,77.66327,63.166485,54.324745,38.43808,68.74974,76.87798,95.44118,43.97116,257.7011,584.41327,319.64883,42.277203,72.69554,6.4999895,437.50064,5.6930647,202.0906,245.71477,16.411335
